Start time,Category,Name,Distance,Time elapsed,Avg. speed,Avg. pace,Avg. HR,Norm Power,Intensity Factor,Avg. power,Avg. grade,Ascending,Descending,TRIMP,Training Stress Score,ATL Power,CTL Power,TSB (Pre),TSB (Post),Avg. cadence
10/24/2015 1:31:54 PM,Running/Walking,Running,2.86,01:20:18.3300000,2.1,00:28:06,,113,0.49,68,-0.9%,449,-525,0,32,82,72,0,-10,32.0
10/24/2015 10:50:17 AM,Running/Walking,Running,3.68,01:56:35.2200000,1.9,00:31:39,,118,0.51,66,0.7%,1227,-2667,0,51,82,72,0,-10,30.0
10/23/2015 8:05:08 AM,Running/Walking,Running,1.41,00:30:41.1400000,2.8,00:21:41,,187,0.81,110,-0.6%,417,-430,0,34,69,70,-3,0,46.0
10/22/2015 10:06:28 PM,Running/Walking,Other,0.56,00:08:44,3.8,00:15:36,,169,0.73,140,5.5%,236,-351,0,8,73,70,4,-3
10/22/2015 11:57:36 AM,Running/Walking,Running,3.37,00:37:01.1300000,5.5,00:10:58,,312,1.36,234,0.7%,755,-866,0,114,73,70,4,-3,72.0
10/22/2015 8:05:08 AM,Running/Walking,Running,1.41,00:30:41.1400000,2.8,00:21:41,,187,0.81,107,-0.6%,417,-430,0,34,73,70,4,-3,46.0
10/21/2015 11:08:13 PM,Running/Walking,Other,0.52,00:07:34,4.1,00:14:31,,448,1.95,234,4.2%,262,-121,0,48,65,68,14,4
10/21/2015 11:57:36 AM,Running/Walking,Running,3.37,00:37:01.1300000,5.5,00:10:58,,312,1.36,,0.7%,755,-866,0,114,65,68,14,4,72.0
10/21/2015 8:05:08 AM,Running/Walking,Running,1.41,00:30:41.1400000,2.8,00:21:41,,187,0.81,,-0.6%,417,-430,0,34,65,68,14,4,46.0
10/20/2015 1:57:38 PM,Running/Walking,,2.40,00:35:35.9900000,4.0,00:14:51,,183,0.80,137,-0.4%,544,-577,0,38,52,66,16,14,68.4
10/20/2015 8:05:08 AM,Running/Walking,Running,1.41,00:30:41.1400000,2.8,00:21:41,,187,0.81,,-0.6%,417,-430,0,34,52,66,16,14,46.0
10/19/2015 10:25:10 AM,Running/Walking,Running,2.19,00:22:03.5800000,5.9,00:10:05,,333,1.45,239,-0.8%,404,-404,0,77,50,66,18,16,75.0
10/17/2015 11:38:15 AM,Running/Walking,,5.53,02:48:18.9700000,2.0,00:30:26,,131,0.57,83,2.8%,1811,-899,0,91,52,67,18,15,33.0
10/16/2015 12:05:28 PM,Running/Walking,Running,2.15,00:35:35.4900000,3.6,00:16:31,,180,0.78,134,1.6%,869,-676,0,36,48,66,18,18,53.0
10/15/2015 6:35:36 PM,My Activities,,1.81,00:34:22,3.2,00:19:01,,151,0.66,132,4.6%,748,-505,0,25,49,67,16,18
10/14/2015 8:25:33 AM,Running/Walking,Running,1.31,00:24:37,3.2,00:18:48,,147,0.64,112,0.3%,407,-371,0,17,51,68,14,16,55.0
10/13/2015 8:38:18 AM,Running/Walking,Running,5.99,01:55:50.3600000,3.1,00:19:21,,153,0.66,113,-0.5%,1352,-1394,0,85,55,69,17,14,51.0
10/12/2015 8:05:35 AM,Running/Walking,Running,3.97,01:20:33.7900000,3.0,00:20:18,,146,0.63,106,-0.2%,1463,-1165,0,54,52,69,17,17,50.0
10/11/2015 5:42:02 PM,Running/Walking,Running,1.32,00:27:06.6600000,2.9,00:20:33,,133,0.58,107,0.6%,459,-381,0,15,52,69,15,17,47.0
10/10/2015 10:47:53 AM,Running/Walking,Running,6.29,01:08:13.5500000,5.5,00:10:51,,216,0.94,191,0.0%,371,-407,0,100,55,70,19,15,75.0
10/8/2015 7:53:39 AM,Running/Walking,Running,1.32,00:25:37.3200000,3.1,00:19:23,,151,0.66,111,0.5%,358,-266,0,18,56,71,12,15,50.0
10/7/2015 5:00:00 PM,Running/Walking,,3.00,01:00:00,3.0,00:20:00,,,,,,,,0,70,60,72,18,12
10/7/2015 8:36:19 AM,Running/Walking,Running,4.20,01:12:48.5400000,3.5,00:17:20,,152,0.66,119,-0.9%,938,-856,0,53,60,72,18,12,57.0
10/6/2015 8:00:45 AM,Running/Walking,Running,2.14,00:45:35.3400000,2.8,00:21:15,,126,0.55,105,5.2%,827,-230,0,23,53,71,16,18,45.0
10/5/2015 1:00:46 PM,Running/Walking,Running,8.90,02:43:09.3100000,3.3,00:18:20,,168,0.73,124,0.1%,1640,-1657,0,144,56,72,23,16,52.0
10/4/2015 10:49:47 AM,Running/Walking,Running,6.05,02:06:10.5300000,2.9,00:20:51,,166,0.72,109,0.1%,1670,-1719,0,110,47,70,28,23,48.0
10/2/2015 7:08:47 PM,Running/Walking,Running,1.30,00:20:52.1400000,3.7,00:16:04,,184,0.80,142,-0.2%,400,-774,0,22,45,71,26,26,59.0
10/2/2015 7:00:47 AM,Running/Walking,Running,1.30,00:20:52.1400000,3.7,00:16:04,,184,0.80,142,-0.2%,400,-774,0,22,45,71,26,26,59.0
10/1/2015 7:08:47 PM,Running/Walking,Running,1.30,00:20:52.1400000,3.7,00:16:04,,184,0.80,142,-0.2%,400,-774,0,22,46,72,32,26,59.0
10/1/2015 11:18:22 AM,Running/Walking,Running,7.44,02:14:30,3.3,00:18:05,,145,0.63,114,-0.3%,1411,-1355,0,89,46,72,32,26,55.0
9/26/2015 8:04:58 AM,Running/Walking,Running,7.12,00:59:22.3100000,7.2,00:08:20,,292,1.27,269,-0.1%,627,-666,0,159,57,77,28,20,86.0
9/24/2015 11:49:52 PM,Running/Walking,Other,1.50,00:32:30,2.8,00:21:39,,117,0.51,93,0.0%,318,-413,0,14,51,77,23,25
9/22/2015 11:22:25 AM,Running/Walking,Running,9.47,03:08:26.3100000,3.0,00:19:53,,165,0.72,117,-0.3%,1909,-1906,0,161,61,80,27,19,49.0
9/21/2015 7:09:44 AM,Running/Walking,,1.28,00:24:58.5500000,3.1,00:19:28,,150,0.65,115,0.6%,312,-262,0,18,51,78,25,27,52.0
9/20/2015 5:48:01 PM,Running/Walking,,6.00,01:41:29,3.5,00:16:55,,156,0.68,131,0.2%,1667,-1355,0,77,54,79,29,25
9/20/2015 9:05:40 AM,Running/Walking,Running,1.33,00:24:51.5100000,3.2,00:18:37,,147,0.64,116,0.6%,410,-371,0,17,54,79,29,25,52.0
9/18/2015 7:35:32 AM,Running/Walking,Running,2.59,00:43:00.9200000,3.6,00:16:37,,172,0.75,135,0.1%,604,-535,0,40,55,81,25,26,58.0
9/17/2015 7:06:39 AM,Running/Walking,Running,6.15,01:39:56.9100000,3.7,00:16:15,,164,0.72,127,0.8%,1299,-1302,0,85,56,82,28,25,57.0
9/16/2015 8:07:59 AM,Running/Walking,,4.48,01:19:17.2900000,3.4,00:17:42,,153,0.66,117,-0.1%,1004,-938,0,58,53,81,29,28,55.0
9/15/2015 7:08:47 AM,Running/Walking,Running,1.30,00:20:52.1400000,3.7,00:16:04,,185,0.80,,-0.1%,400,-774,0,22,53,82,27,29,59.0
9/14/2015 7:08:47 PM,Running/Walking,Running,1.30,00:20:52.1400000,3.7,00:16:04,,184,0.80,142,-0.2%,400,-774,0,22,56,83,27,27,59.0
9/14/2015 7:08:47 AM,Running/Walking,Running,1.30,00:20:52.1400000,3.7,00:16:04,,185,0.80,,-0.1%,400,-774,0,22,56,83,27,27,59.0
9/12/2015 11:30:55 AM,Running/Walking,Running,3.13,00:28:37.1000000,6.6,00:09:08,,238,1.04,234,0.0%,348,-390,0,51,63,86,26,23,84.0
9/12/2015 10:48:00 AM,Running/Walking,Running,3.33,00:40:08.8600000,5.0,00:12:02,,172,0.75,160,0.0%,456,-423,0,38,63,86,26,23,75.0
9/11/2015 6:45:44 AM,Running/Walking,Running,1.26,00:22:30.7800000,3.4,00:17:53,,157,0.68,115,1.0%,446,-394,0,18,60,86,23,26,54.0
9/10/2015 7:41:57 PM,Running/Walking,Running,1.26,00:21:55.8700000,3.4,00:17:25,,158,0.69,117,1.1%,404,-354,0,17,64,87,21,23,58.0
9/10/2015 7:45:36 AM,Running/Walking,Running,1.28,00:22:00.7700000,3.5,00:17:10,,169,0.73,131,0.3%,417,-312,0,20,64,87,21,23,58.0
9/9/2015 9:55:26 AM,Running/Walking,,2.41,00:21:36,6.7,00:08:58,,258,1.12,220,0.7%,381,-295,0,45,67,88,22,21,79.0
